City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Bichura,RU,2021-11-20 12:31:19,50.5881,107.6022,14.0,91,100,5.73
229,Kaitangata,NZ,2021-11-20 12:24:59,-46.2817,169.8464,51.96,93,100,1.63
230,Pisco,PE,2021-11-20 12:31:20,-13.7,-76.2167,64.45,88,90,2.3
231,Kaabong,UG,2021-11-20 12:31:20,3.4836,34.1492,84.13,26,99,11.83
232,Kadaya,RU,2021-11-20 12:31:20,50.9327,119.2911,9.18,95,78,0.58
233,Hovd,MN,2021-11-20 12:31:21,48.0056,91.6419,8.8,40,0,1.52
234,Tolaga Bay,NZ,2021-11-20 12:31:21,-38.3667,178.3,54.16,52,100,4.41
235,Bilma,NE,2021-11-20 12:31:21,18.6853,12.9164,93.74,12,64,6.4
236,Perth,AU,2021-11-20 12:31:21,-31.9333,115.8333,73.4,53,0,14.97
237,Merauke,ID,2021-11-20 12:31:22,-8.4667,140.3333,79.92,87,100,11.48
238,Ishigaki,JP,2021-11-20 12:31:22,24.3448,124.1572,77.67,67,69,15.19
239,Aklavik,CA,2021-11-20 12:31:22,68.2191,-135.0107,0.32,98,100,1.95
240,Marang,MY,2021-11-20 12:31:23,5.2056,103.2059,84.11,82,55,4.76
241,Lebu,CL,2021-11-20 12:24:55,-37.6167,-73.65,56.39,83,81,14.09
242,Siverek,TR,2021-11-20 12:31:23,37.755,39.3167,48.81,84,100,13.8
243,Muros,ES,2021-11-20 12:31:23,42.7762,-9.0603,63.86,67,49,0.51
244,Birjand,IR,2021-11-20 12:31:23,32.8663,59.2211,59.47,14,0,11.5
245,Bambous Virieux,MU,2021-11-20 12:31:24,-20.3428,57.7575,82.65,57,20,13.8
246,Villa Union,MX,2021-11-20 12:31:24,23.2,-106.2333,68.92,88,1,3.44
247,Esfarayen,IR,2021-11-20 12:31:24,37.0765,57.5101,53.26,31,0,1.57
248,Clyde River,CA,2021-11-20 12:27:33,70.4692,-68.5914,12.43,85,100,21.85
249,Santa Cecilia,BR,2021-11-20 12:31:25,-26.9608,-50.4269,63.07,69,56,2.82
250,Bandarbeyla,SO,2021-11-20 12:31:25,9.4942,50.8122,79.63,66,5,14.18
251,Nanortalik,GL,2021-11-20 12:31:25,60.1432,-45.2371,37.6,95,100,19.44
